,silhouette_score
106957,-0.8136046531423733
107022,-0.6680254547306881
107029,-0.6125675295657012
107035,-0.6439979432696039
107045,-0.5291436690697072
107047,-0.7646285781197036
107065,-0.7984089566292639
107071,-0.6985870441117205
107094,-0.6844814826455724
107141,-0.8063030807608542
107146,-0.8599052524739761
107173,-0.7269563972180447
107182,-0.628139291624515
107197,-0.6390081557112193
107221,-0.8864072680669105
107227,-0.52921185462781
107239,-0.8604423699542659
107242,-0.7459694467294128
107250,-0.9132308140931716
107260,-0.5446982438387522
107271,-0.6365076839503042
107272,-0.7774278819947128
107305,-0.8393091953559002
107321,-0.8408779560258492
107328,-0.7392259288891159
107338,-0.6236927028450865
107350,-0.9056376725711656
107351,-0.8239718115718838
107358,-0.6148654059321185
107368,-0.5630223615282066
107371,-0.7063548495103147
107373,-0.8881593506743616
107375,-0.8664829003793857
107392,-0.8133888548922152
107435,-0.5807189383191037
107448,-0.8073659586696131
107449,-0.817885833702603
107476,-0.641068137282303
107477,-0.8350074727946596
107503,-0.8909107246414508
107508,-0.5895910516650239
107513,-0.547780009511605
107515,-0.7619247784624866
107522,-0.7215218048995857
107526,-0.8085652315986859
107527,-0.8375359139740354
107528,-0.7998452499792803
107566,-0.7766172284482509
107568,-0.6841131865473908
107569,-0.6927493794219859
107581,-0.854736246834666
107585,-0.6596933747694164
107586,-0.5699006315218892
107587,-0.8153173992270367
107589,-0.7913430215047383
107605,-0.9261756684842988
107607,-0.8214399178017867
107626,-0.8604746577801801
107650,-0.5844521344472144
107652,-0.535066326775605
107656,-0.8550269135108302
107684,-0.862929771381146
107686,-0.535698154504335
107701,-0.6075336733724835
107702,-0.6543987581138518
107723,-0.6100414505062948
107732,-0.738473337591619
107733,-0.6752126171461553
107734,-0.5508265717849978
107746,-0.5520219018972464
107747,-0.8712120816749868
107751,-0.8325007198209411
107753,-0.8785850502140479
107765,-0.8876799605798124
107766,-0.8688503252506065
107767,-0.5876708032368128
107769,-0.7363678275698965
107770,-0.8709625912138309
107771,-0.6873774252936513
107815,-0.8141419939691132
107817,-0.6085326288754206
107823,-0.6897212525333928
107829,-0.548573088997895
107831,-0.7650998613281021
107849,-0.8987304031734947
107868,-0.6704839835937003
107869,-0.7930606265154048
107885,-0.7347821726183423
107889,-0.8681003423526781
107895,-0.7274444980855908
107932,-0.5615877200303951
107934,-0.8466445504415181
107939,-0.6979337970699523
107951,-0.6845372272176
107970,-0.9053097996482538
107971,-0.8631335789313024
107975,-0.5799895729282648
107976,-0.5993922056134758
107986,-0.6292925714096129
107993,-0.8381777704514044
107995,-0.7149197056542673
107999,-0.835956958887373
108000,-0.7785951061373045
108011,-0.6982265726271409
108012,-0.7199228715351396
